;ItemSearch;CustomerSearch;How many people deployed at this stage?;How many active users?
11/02/15;3;11;;
12/02/15;18;28;;
13/02/15;18;14;;
20/02/15;3;2;;
26/02/15;84;32;;
27/02/15;210;42;;
28/02/15;160;42;;
02/03/15;216;110;;
03/03/15;392;124;;
04/03/15;412;40;;
05/03/15;136;16;;
06/03/15;108;36;;
07/03/15;208;28;;
08/03/15;216;36;;
09/03/15;404;43;;
10/03/15;218;34;;
11/03/15;216;116;;
12/03/15;286;368;;
13/03/15;374;74;;
14/03/15;334;22;;
15/03/15;28;10;;
16/03/15;110;31;;
17/03/15;122;21;;
18/03/15;101;35;;
19/03/15;106;32;;
20/03/15;154;24;;
21/03/15;153;27;;
22/03/15;10;53;;
23/03/15;3;2;;
